# Dt pitch noise nIonTot sigma nPixTot sigma sigTot sigma maxH sigma alpha
 2.0 9.0 30.0 94764.3187328 129.704742398 40.6548764256 8.733228988 94772.0628104 229.135127069 22353.541734 3964.30739794 -9.88611925728
 4.0 10.0 30.0 94760.0788701 122.825172518 56.4150835703 11.8068792294 94760.1639581 267.131043949 8284.65912648 14557054.7673 13021.2560438
 2.0 1.0 10.0 94757.6799816 122.855104713 2222.14988514 1739.29338775 94694.2762031 423.733874394 427.353799143 128.347788403 0.00578125608751
 2.0 2.0 30.0 94762.6249454 131.013677628 483.827905246 118.06937047 94777.2431708 680.150926201 1304.49669388 513.997995535 2.28559580386
 4.0 6.0 30.0 94759.9994488 121.14420122 132.121279735 28.8777270799 94753.7718556 382.464491083 5372.66522225 1106.53325827 -0.00342714116186
 4.0 5.0 10.0 94756.1501603 129.450029106 181.066021065 40.4616528847 94751.1996825 192.9439463 3930.54180667 730.305659489 -0.00155674028285
 3.0 8.0 30.0 94758.0223983 127.11495677 64.3196327891 14.5974019112 94776.4794962 271.361983392 7921.26525339 4366.53145515 3.09360588297
 8.0 7.0 20.0 94754.1887395 131.106796433 203.358748806 41.3584618667 94754.0860492 326.536943328 2299.97634737 1359.28326591 7409.38073826
 10.0 10.0 30.0 94757.8654507 130.275383187 140.42622416 23.8814904034 94762.4215118 380.019072342 4840.35094192 1016.15027368 -0.0023043787466
 3.0 1.0 20.0 94755.5066915 129.369954534 3271.91608589 3425.71404027 94398.1539115 1298.25959027 115.051758754 135.568018081 12.0431475864
 10.0 6.0 30.0 94763.6498239 127.21784124 344.424552174 65.4453176757 94775.7333638 568.968353164 1304.42570477 756.05734415 4.52455010786
 9.0 4.0 30.0 94759.5239339 129.731048677 602.675750644 132.643969908 94682.2642872 721.641918303 695.26836157 395.09569023 3.59210643576
 10.0 5.0 10.0 94761.5866275 128.248153953 462.623870006 95.8651660527 94763.2407213 256.382205762 912.935275663 540.728576792 4.30510657126
 5.0 5.0 20.0 94752.4418967 127.075803517 221.394880472 47.735999046 94751.0768889 327.782944162 3061.56064008 618.06119168 -0.00285749486956
 9.0 7.0 10.0 94763.6685432 124.249225022 229.467973257 45.5512937351 94759.7335809 193.755766797 2822.26567163 587.915794203 -0.00229435013461
 6.0 3.0 30.0 94757.8346018 126.612115594 658.31987237 183.110050507 94728.0416095 742.118485509 689.368576735 337.364515869 2.98054991612
 7.0 9.0 30.0 94762.4998383 131.179720671 114.874628449 23.0388068911 94756.5329202 342.230256671 4339.39560835 2308.75498341 3.78567827192
 1.0 4.0 20.0 94764.9796947 128.711506443 94.1866942167 19.5614686087 94762.4460877 234.940797876 6562.57145897 2355.92929163 1.69555055617
 4.0 2.0 10.0 94754.8806737 120.112844229 886.120617772 284.238740829 94733.5351148 335.242322491 545.923866652 245.97110726 2.11806517126
 2.0 10.0 10.0 94752.7521364 129.044476695 34.7214988185 7.6581932321 94750.3988099 145.748507847 9323.52088294 2137.76823388 0.0274008658156
 4.0 1.0 30.0 94762.6095316 123.992450866 2404.21897438 3807.47847582 93897.7900243 2208.49150467 170.046167561 88.6487771504 37.6078621086
 5.0 8.0 10.0 94761.695253 127.21036548 99.1635968881 22.44959808 94762.3595379 164.871864624 6835.56508272 1449.75809821 -0.00360224697712
 10.0 8.0 20.0 94759.0215364 127.587705085 206.082313252 36.2498745594 94753.0451641 308.23352176 3200.39846117 675.630874495 -0.00261030393661
